"행정구역","2024년03월_계_총인구수","2024년03월_계_연령구간인구수","2024년03월_계_0~9세","2024년03월_계_10~19세","2024년03월_계_20~29세","2024년03월_계_30~39세","2024년03월_계_40~49세","2024년03월_계_50~59세","2024년03월_계_60~69세","2024년03월_계_70~79세","2024년03월_계_80~89세","2024년03월_계_90~99세","2024년03월_계_100세 이상","2024년03월_남_총인구수","2024년03월_남_연령구간인구수","2024년03월_남_0~9세","2024년03월_남_10~19세","2024년03월_남_20~29세","2024년03월_남_30~39세","2024년03월_남_40~49세","2024년03월_남_50~59세","2024년03월_남_60~69세","2024년03월_남_70~79세","2024년03월_남_80~89세","2024년03월_남_90~99세","2024년03월_남_100세 이상","2024년03월_여_총인구수","2024년03월_여_연령구간인구수","2024년03월_여_0~9세","2024년03월_여_10~19세","2024년03월_여_20~29세","2024년03월_여_30~39세","2024년03월_여_40~49세","2024년03월_여_50~59세","2024년03월_여_60~69세","2024년03월_여_70~79세","2024년03월_여_80~89세","2024년03월_여_90~99세","2024년03월_여_100세 이상"
"전국  (0000000000)","51,293,934","51,293,934","3,276,777","4,637,563","6,130,341","6,562,325","7,877,433","8,717,794","7,692,991","4,016,683","2,062,979","310,292","8,756","25,547,370","25,547,370","1,679,295","2,385,417","3,199,405","3,417,525","4,005,950","4,396,807","3,787,260","1,844,918","757,695","71,556","1,542","25,746,564","25,746,564","1,597,482","2,252,146","2,930,936","3,144,800","3,871,483","4,320,987","3,905,731","2,171,765","1,305,284","238,736","7,214"
"서울특별시  (1100000000)","9,384,739","9,384,739","504,805","733,051","1,348,801","1,426,416","1,412,882","1,496,980","1,321,940","747,041","344,599","46,724","1,500","4,536,128","4,536,128","258,848","374,512","638,347","713,489","699,164","735,830","625,662","337,871","139,521","12,538","346","4,848,611","4,848,611","245,957","358,539","710,454","712,927","713,718","761,150","696,278","409,170","205,078","34,186","1,154"
"부산광역시  (2600000000)","3,287,292","3,287,292","191,016","263,231","372,557","389,014","481,477","541,515","561,841","324,655","143,693","17,851","442","1,601,773","1,601,773","97,953","134,880","191,223","200,505","243,257","264,621","264,551","146,311","54,321","4,084","67","1,685,519","1,685,519","93,063","128,351","181,334","188,509","238,220","276,894","297,290","178,344","89,372","13,767","375"
"대구광역시  (2700000000)","2,369,962","2,369,962","148,196","212,813","277,660","279,784","353,187","420,314","368,979","197,510","98,251","13,001","267","1,163,911","1,163,911","76,048","109,628","146,392","149,152","175,064","205,126","176,553","87,225","35,630","3,058","35","1,206,051","1,206,051","72,148","103,185","131,268","130,632","178,123","215,188","192,426","110,285","62,621","9,943","232"
"인천광역시  (2800000000)","3,006,045","3,006,045","200,674","271,951","360,948","415,021","480,309","517,390","447,137","201,172","95,633","15,323","487","1,502,956","1,502,956","102,900","139,536","186,890","216,421","247,079","257,746","220,854","93,402","34,733","3,295","100","1,503,089","1,503,089","97,774","132,415","174,058","198,600","233,230","259,644","226,283","107,770","60,900","12,028","387"
"광주광역시  (2900000000)","1,415,774","1,415,774","97,796","146,461","188,068","173,205","226,246","242,026","186,340","99,969","48,397","7,064","202","699,084","699,084","50,058","75,559","98,209","89,524","112,823","119,709","89,213","44,220","18,148","1,600","21","716,690","716,690","47,738","70,902","89,859","83,681","113,423","122,317","97,127","55,749","30,249","5,464","181"
"대전광역시  (3000000000)","1,441,689","1,441,689","95,166","137,355","198,149","188,008","218,227","244,042","203,459","100,496","49,259","7,314","214","718,943","718,943","49,023","70,690","103,676","99,581","109,060","121,603","98,734","46,232","18,489","1,817","38","722,746","722,746","46,143","66,665","94,473","88,427","109,167","122,439","104,725","54,264","30,770","5,497","176"
"울산광역시  (3100000000)","1,101,336","1,101,336","77,349","108,897","120,852","136,211","176,874","204,714","171,150","73,090","28,286","3,827","86","566,352","566,352","39,713","56,834","68,921","74,180","91,239","102,734","86,407","35,229","10,329","755","11","534,984","534,984","37,636","52,063","51,931","62,031","85,635","101,980","84,743","37,861","17,957","3,072","75"
"세종특별자치시  (3600000000)","387,411","387,411","43,007","51,004","37,316","59,020","77,389","55,276","37,729","16,805","8,275","1,551","39","192,907","192,907","21,884","25,725","18,937","29,156","38,242","28,872","18,783","7,991","2,987","326","4","194,504","194,504","21,123","25,279","18,379","29,864","39,147","26,404","18,946","8,814","5,288","1,225","35"
"경기도  (4100000000)","13,642,451","13,642,451","974,722","1,316,957","1,666,674","1,877,819","2,247,421","2,346,496","1,856,355","860,695","428,054","65,324","1,934","6,860,823","6,860,823","498,871","674,014","876,362","979,958","1,146,366","1,182,313","926,333","398,475","161,745","15,958","428","6,781,628","6,781,628","475,851","642,943","790,312","897,861","1,101,055","1,164,183","930,022","462,220","266,309","49,366","1,506"
